GLASS,JUDGE,DT_1EXPOSURE,DT_2DEVELOP,DT_3FIRE,MC_1EXPOSURE,MC_2DEVELOP,MC_3FIRE
GLS-053,명점,2013-03-05T18:12:46,2013-03-05T18:20:09,2013-03-05T19:04:10,2호기,2호기,2호기
GLS-054,양품,2013-03-05T18:15:18,2013-03-05T18:22:57,2013-03-05T19:06:43,2호기,1호기,2호기
GLS-055,양품,2013-03-05T18:21:42,2013-03-05T18:29:57,2013-03-05T19:16:33,1호기,2호기,1호기
GLS-056,양품,2013-03-05T18:25:30,2013-03-05T18:34:09,2013-03-05T19:18:10,2호기,1호기,2호기
GLS-057,양품,2013-03-05T18:24:14,2013-03-05T18:32:45,2013-03-05T19:21:10,1호기,2호기,2호기
GLS-058,양품,2013-03-05T18:30:54,2013-03-05T18:40:09,2013-03-05T19:29:43,2호기,2호기,2호기
GLS-059,양품,2013-03-05T18:40:32,2013-03-05T18:49:57,2013-03-05T19:36:10,1호기,1호기,2호기
GLS-060,양품,2013-03-05T18:52:32,2013-03-05T19:01:57,2013-03-05T19:47:33,1호기,1호기,1호기
GLS-061,양품,2013-03-05T18:53:48,2013-03-05T19:03:25,2013-03-05T19:54:33,2호기,2호기,1호기
GLS-062,양품,2013-03-05T18:59:52,2013-03-05T19:09:13,2013-03-05T19:55:43,2호기,1호기,2호기
GLS-063,양품,2013-03-05T19:10:08,2013-03-05T19:20:25,2013-03-05T20:02:10,1호기,1호기,2호기
GLS-064,양품,2013-03-05T19:05:30,2013-03-05T19:14:45,2013-03-05T20:08:43,2호기,2호기,2호기
GLS-065,양품,2013-03-05T19:22:00,2013-03-05T19:31:01,2013-03-05T20:17:43,2호기,1호기,2호기
GLS-066,양품,2013-03-05T19:15:08,2013-03-05T19:23:25,2013-03-05T20:19:00,1호기,1호기,1호기
GLS-067,양품,2013-03-05T19:26:10,2013-03-05T19:35:13,2013-03-05T20:20:10,1호기,2호기,2호기
GLS-068,양품,2013-03-05T19:30:48,2013-03-05T19:39:25,2013-03-05T20:26:10,2호기,2호기,2호기
GLS-069,명점,2013-03-05T19:36:36,2013-03-05T19:45:13,2013-03-05T20:32:10,1호기,2호기,2호기
GLS-070,양품,2013-03-05T19:35:08,2013-03-05T19:47:13,2013-03-05T20:35:10,1호기,1호기,2호기
GLS-071,양품,2013-03-05T19:52:30,2013-03-05T20:06:57,2013-03-05T20:43:43,1호기,1호기,2호기
GLS-072,양품,2013-03-05T19:48:10,2013-03-05T20:01:49,2013-03-05T20:46:43,2호기,2호기,2호기
GLS-073,양품,2013-03-05T19:58:12,2013-03-05T20:12:33,2013-03-05T20:52:43,1호기,1호기,2호기
GLS-074,양품,2013-03-05T20:01:06,2013-03-05T20:15:45,2013-03-05T20:55:43,1호기,2호기,2호기
GLS-075,양품,2013-03-05T20:03:58,2013-03-05T20:19:05,2013-03-05T21:03:00,1호기,1호기,1호기
GLS-076,명점,2013-03-05T20:12:32,2013-03-05T20:28:13,2013-03-05T21:06:00,1호기,2호기,1호기
GLS-077,양품,2013-03-05T20:11:10,2013-03-05T20:26:45,2013-03-05T21:10:10,2호기,2호기,2호기
GLS-078,명점,2013-03-05T20:16:54,2013-03-05T20:32:53,2013-03-05T21:12:00,2호기,1호기,1호기
GLS-079,양품,2013-03-05T20:19:44,2013-03-05T20:35:49,2013-03-05T21:14:33,2호기,2호기,1호기
GLS-080,양품,2013-03-05T20:25:44,2013-03-05T20:41:57,2013-03-05T21:20:10,2호기,1호기,2호기
GLS-081,양품,2013-03-05T20:27:08,2013-03-05T20:43:25,2013-03-05T21:26:43,1호기,2호기,2호기
GLS-082,양품,2013-03-05T20:28:32,2013-03-05T20:44:45,2013-03-05T21:30:10,2호기,2호기,2호기
GLS-083,양품,2013-03-05T20:31:24,2013-03-05T20:47:33,2013-03-05T21:31:33,2호기,1호기,1호기
GLS-084,양품,2013-03-05T20:39:30,2013-03-05T20:54:33,2013-03-05T21:39:10,1호기,2호기,2호기
GLS-085,양품,2013-03-05T21:17:44,2013-03-05T21:25:41,2013-03-05T21:59:43,2호기,1호기,2호기
GLS-086,양품,2013-03-05T21:22:02,2013-03-05T21:28:13,2013-03-05T22:01:00,2호기,1호기,1호기
GLS-087,양품,2013-03-05T21:42:44,2013-03-05T21:49:21,2013-03-05T22:15:33,2호기,2호기,1호기
GLS-088,양품,2013-03-05T22:00:34,2013-03-05T22:07:13,2013-03-05T22:40:10,2호기,2호기,2호기
GLS-089,양품,2013-03-05T22:06:42,2013-03-05T22:13:09,2013-03-05T22:47:33,2호기,2호기,1호기
GLS-090,양품,2013-03-05T22:09:34,2013-03-05T22:15:57,2013-03-05T22:48:43,2호기,2호기,2호기
GLS-091,양품,2013-03-05T22:18:30,2013-03-05T22:25:01,2013-03-05T22:57:43,2호기,1호기,2호기
GLS-092,양품,2013-03-05T22:20:08,2013-03-05T22:27:01,2013-03-05T22:59:00,1호기,1호기,1호기
GLS-093,양품,2013-03-05T22:23:32,2013-03-05T22:30:49,2013-03-05T23:03:43,1호기,1호기,2호기
GLS-094,양품,2013-03-05T22:27:12,2013-03-05T22:33:21,2013-03-05T23:04:33,1호기,1호기,1호기
GLS-095,명점,2013-03-05T22:29:42,2013-03-05T22:36:49,2013-03-05T23:06:10,1호기,2호기,2호기
GLS-096,양품,2013-03-05T22:33:08,2013-03-05T22:39:21,2013-03-05T23:14:33,1호기,2호기,1호기
GLS-097,양품,2013-03-05T22:56:48,2013-03-05T23:03:09,2013-03-05T23:30:43,2호기,2호기,2호기
GLS-098,양품,2013-03-05T22:59:22,2013-03-05T23:06:09,2013-03-05T23:36:43,2호기,1호기,2호기
GLS-099,양품,2013-03-05T23:07:56,2013-03-05T23:14:25,2013-03-05T23:42:43,2호기,1호기,2호기
GLS-100,양품,2013-03-05T23:13:32,2013-03-05T23:20:05,2013-03-05T23:47:00,2호기,2호기,1호기
GLS-101,양품,2013-03-05T23:09:18,2013-03-05T23:15:45,2013-03-05T23:52:33,1호기,1호기,1호기
GLS-102,양품,2013-03-05T23:18:00,2013-03-05T23:25:01,2013-03-05T23:56:43,1호기,2호기,2호기
GLS-103,양품,2013-03-05T23:29:34,2013-03-05T23:37:05,2013-03-06T00:02:43,1호기,1호기,2호기
GLS-104,양품,2013-03-05T23:28:10,2013-03-05T23:34:49,2013-03-06T00:04:00,2호기,2호기,1호기
GLS-105,양품,2013-03-05T23:33:34,2013-03-05T23:41:21,2013-03-06T00:11:10,2호기,2호기,2호기
GLS-106,양품,2013-03-05T23:43:40,2013-03-05T23:51:09,2013-03-06T00:17:10,1호기,2호기,2호기
GLS-107,양품,2013-03-05T23:46:30,2013-03-05T23:53:57,2013-03-06T00:20:10,1호기,1호기,2호기
GLS-108,양품,2013-03-05T23:48:30,2013-03-05T23:55:21,2013-03-06T00:21:33,2호기,1호기,1호기
GLS-109,양품,2013-03-05T23:42:18,2013-03-05T23:49:45,2013-03-06T00:24:33,2호기,1호기,1호기
GLS-110,양품,2013-03-05T23:51:12,2013-03-05T23:58:09,2013-03-06T00:30:30,2호기,2호기,1호기
